=== SEEDER RUN STARTED Sun Apr  5 12:24:07 EDT 2026 ===

=== PHASE 1: Cross-seed from pricing models ===
Started: Sun Apr  5 12:24:07 EDT 2026
Cities: 739 | Services: roofing, hvac, plumbing, electrical, solar | Max: all
  SEED Dothan, AL [hvac] = $8,100 (trust=90)
  SEED Nampa, ID [plumbing] = $2,600 (trust=90)
  SEED Nampa, ID [electrical] = $2,600 (trust=90)
  SEED Nampa, ID [solar] = $29,500 (trust=90)
  SEED Pocatello, ID [roofing] = $11,700 (trust=90)
  SEED Pocatello, ID [hvac] = $8,700 (trust=90)
  SEED Pocatello, ID [plumbing] = $2,400 (trust=90)
  SEED Pocatello, ID [electrical] = $2,400 (trust=90)
  SEED Pocatello, ID [solar] = $27,200 (trust=90)
  SEED Twin Falls, ID [roofing] = $11,200 (trust=90)
  SEED Twin Falls, ID [hvac] = $8,700 (trust=90)
  SEED Twin Falls, ID [plumbing] = $2,300 (trust=90)
  SEED Twin Falls, ID [electrical] = $2,300 (trust=90)
  SEED Twin Falls, ID [solar] = $26,500 (trust=90)
  SEED Arlington Heights, IL [roofing] = $16,100 (trust=90)
  SEED Arlington Heights, IL [hvac] = $12,600 (trust=90)
  SEED Arlington Heights, IL [plumbing] = $3,600 (trust=90)
  SEED Arlington Heights, IL [electrical] = $3,600 (trust=90)
  SEED Arlington Heights, IL [solar] = $40,000 (trust=90)
  SEED Aurora, IL [roofing] = $16,100 (trust=90)
  SEED Aurora, IL [hvac] = $12,600 (trust=90)
  SEED Aurora, IL [plumbing] = $3,600 (trust=90)
  SEED Aurora, IL [electrical] = $3,600 (trust=90)
  SEED Aurora, IL [solar] = $40,000 (trust=90)
  SEED Bartlett, IL [roofing] = $16,100 (trust=90)
  SEED Bartlett, IL [hvac] = $12,600 (trust=90)
  SEED Bartlett, IL [plumbing] = $3,600 (trust=90)
  SEED Bartlett, IL [electrical] = $3,600 (trust=90)
  SEED Bartlett, IL [solar] = $40,000 (trust=90)
  SEED Belleville, IL [roofing] = $15,600 (trust=90)
  SEED Belleville, IL [hvac] = $12,100 (trust=90)
  SEED Belleville, IL [plumbing] = $3,400 (trust=90)
  SEED Belleville, IL [electrical] = $3,400 (trust=90)
  SEED Belleville, IL [solar] = $38,600 (trust=90)
  SEED Berwyn, IL [roofing] = $16,100 (trust=90)
  SEED Berwyn, IL [hvac] = $12,600 (trust=90)
  SEED Berwyn, IL [plumbing] = $3,600 (trust=90)
  SEED Berwyn, IL [electrical] = $3,600 (trust=90)
  SEED Berwyn, IL [solar] = $40,000 (trust=90)
  SEED Bloomington, IL [roofing] = $14,700 (trust=90)
  SEED Bloomington, IL [hvac] = $10,400 (trust=90)
  SEED Bloomington, IL [plumbing] = $3,100 (trust=90)
  SEED Bloomington, IL [electrical] = $3,200 (trust=90)
  SEED Bloomington, IL [solar] = $35,500 (trust=90)
  SEED Bolingbrook, IL [roofing] = $16,100 (trust=90)
  SEED Bolingbrook, IL [hvac] = $12,600 (trust=90)
  SEED Bolingbrook, IL [plumbing] = $3,600 (trust=90)
  SEED Bolingbrook, IL [electrical] = $3,600 (trust=90)
  SEED Bolingbrook, IL [solar] = $40,000 (trust=90)
... 200/739 cities processed (925 seeded, 75 skipped)
  SEED Buffalo Grove, IL [roofing] = $16,100 (trust=90)
  SEED Buffalo Grove, IL [hvac] = $12,600 (trust=90)
  SEED Buffalo Grove, IL [plumbing] = $3,600 (trust=90)
  SEED Buffalo Grove, IL [electrical] = $3,600 (trust=90)
  SEED Buffalo Grove, IL [solar] = $40,000 (trust=90)
  SEED Champaign, IL [roofing] = $14,000 (trust=90)
  SEED Champaign, IL [hvac] = $11,300 (trust=90)
  SEED Champaign, IL [plumbing] = $3,200 (trust=90)
  SEED Champaign, IL [electrical] = $3,200 (trust=90)
  SEED Champaign, IL [solar] = $35,500 (trust=90)
  SEED Cicero, IL [roofing] = $16,100 (trust=90)
  SEED Cicero, IL [hvac] = $12,600 (trust=90)
  SEED Cicero, IL [plumbing] = $3,600 (trust=90)
  SEED Cicero, IL [electrical] = $3,600 (trust=90)
  SEED Cicero, IL [solar] = $40,000 (trust=90)
  SEED Decatur, IL [roofing] = $13,000 (trust=90)
  SEED Decatur, IL [hvac] = $10,600 (trust=90)
  SEED Decatur, IL [plumbing] = $2,900 (trust=90)
  SEED Decatur, IL [electrical] = $3,300 (trust=90)
  SEED Decatur, IL [solar] = $36,200 (trust=90)
  SEED DeKalb, IL [roofing] = $16,100 (trust=90)
  SEED DeKalb, IL [hvac] = $12,600 (trust=90)
  SEED DeKalb, IL [plumbing] = $3,600 (trust=90)
  SEED DeKalb, IL [electrical] = $3,600 (trust=90)
  SEED DeKalb, IL [solar] = $40,000 (trust=90)
  SEED Des Plaines, IL [roofing] = $16,100 (trust=90)
  SEED Des Plaines, IL [hvac] = $12,600 (trust=90)
  SEED Des Plaines, IL [plumbing] = $3,600 (trust=90)
  SEED Des Plaines, IL [electrical] = $3,600 (trust=90)
  SEED Des Plaines, IL [solar] = $40,000 (trust=90)
  SEED Downers Grove, IL [roofing] = $16,100 (trust=90)
  SEED Downers Grove, IL [hvac] = $12,600 (trust=90)
  SEED Downers Grove, IL [plumbing] = $3,600 (trust=90)
  SEED Downers Grove, IL [electrical] = $3,600 (trust=90)
  SEED Downers Grove, IL [solar] = $40,000 (trust=90)
  SEED Elgin, IL [roofing] = $16,100 (trust=90)
  SEED Elgin, IL [hvac] = $12,600 (trust=90)
  SEED Elgin, IL [plumbing] = $3,600 (trust=90)
  SEED Elgin, IL [electrical] = $3,600 (trust=90)
  SEED Elgin, IL [solar] = $40,000 (trust=90)
  SEED Elmhurst, IL [roofing] = $16,100 (trust=90)
  SEED Elmhurst, IL [hvac] = $12,600 (trust=90)
  SEED Elmhurst, IL [plumbing] = $3,600 (trust=90)
  SEED Elmhurst, IL [electrical] = $3,600 (trust=90)
  SEED Elmhurst, IL [solar] = $40,000 (trust=90)
  SEED Evanston, IL [roofing] = $16,100 (trust=90)
  SEED Evanston, IL [hvac] = $12,600 (trust=90)
  SEED Evanston, IL [plumbing] = $3,600 (trust=90)
  SEED Evanston, IL [electrical] = $3,600 (trust=90)
  SEED Evanston, IL [solar] = $40,000 (trust=90)
  SEED Glenview, IL [roofing] = $16,100 (trust=90)
  SEED Glenview, IL [hvac] = $12,600 (trust=90)
  SEED Glenview, IL [plumbing] = $3,600 (trust=90)
  SEED Glenview, IL [electrical] = $3,600 (trust=90)
  SEED Glenview, IL [solar] = $40,000 (trust=90)
  SEED Hoffman Estates, IL [roofing] = $16,100 (trust=90)
  SEED Hoffman Estates, IL [hvac] = $12,600 (trust=90)
  SEED Hoffman Estates, IL [plumbing] = $3,600 (trust=90)
  SEED Hoffman Estates, IL [electrical] = $3,600 (trust=90)
  SEED Hoffman Estates, IL [solar] = $40,000 (trust=90)
  SEED Joliet, IL [roofing] = $16,100 (trust=90)
  SEED Joliet, IL [hvac] = $12,600 (trust=90)
  SEED Joliet, IL [plumbing] = $3,600 (trust=90)
  SEED Joliet, IL [electrical] = $3,600 (trust=90)
  SEED Joliet, IL [solar] = $40,000 (trust=90)
  SEED Lombard, IL [roofing] = $16,100 (trust=90)
  SEED Lombard, IL [hvac] = $12,600 (trust=90)
  SEED Lombard, IL [plumbing] = $3,600 (trust=90)
  SEED Lombard, IL [electrical] = $3,600 (trust=90)
  SEED Lombard, IL [solar] = $40,000 (trust=90)
  SEED Moline, IL [roofing] = $12,400 (trust=90)
  SEED Moline, IL [hvac] = $10,300 (trust=90)
  SEED Moline, IL [plumbing] = $2,600 (trust=90)
  SEED Moline, IL [electrical] = $2,900 (trust=90)
  SEED Moline, IL [solar] = $32,200 (trust=90)
  SEED Mount Prospect, IL [roofing] = $16,100 (trust=90)
  SEED Mount Prospect, IL [hvac] = $12,600 (trust=90)
  SEED Mount Prospect, IL [plumbing] = $3,600 (trust=90)
  SEED Mount Prospect, IL [electrical] = $3,600 (trust=90)
  SEED Mount Prospect, IL [solar] = $40,000 (trust=90)
  SEED Naperville, IL [roofing] = $16,100 (trust=90)
  SEED Naperville, IL [hvac] = $12,600 (trust=90)
  SEED Naperville, IL [plumbing] = $3,600 (trust=90)
  SEED Naperville, IL [electrical] = $3,600 (trust=90)
  SEED Naperville, IL [solar] = $40,000 (trust=90)
  SEED Normal, IL [roofing] = $16,100 (trust=90)
  SEED Normal, IL [hvac] = $12,600 (trust=90)
  SEED Normal, IL [plumbing] = $3,600 (trust=90)
  SEED Normal, IL [electrical] = $3,600 (trust=90)
  SEED Normal, IL [solar] = $40,000 (trust=90)
  SEED Oak Lawn, IL [roofing] = $16,100 (trust=90)
  SEED Oak Lawn, IL [hvac] = $12,600 (trust=90)
  SEED Oak Lawn, IL [plumbing] = $3,600 (trust=90)
  SEED Oak Lawn, IL [electrical] = $3,600 (trust=90)
  SEED Oak Lawn, IL [solar] = $40,000 (trust=90)
  SEED Oak Park, IL [roofing] = $16,100 (trust=90)
  SEED Oak Park, IL [hvac] = $12,600 (trust=90)
  SEED Oak Park, IL [plumbing] = $3,600 (trust=90)
  SEED Oak Park, IL [electrical] = $3,600 (trust=90)
  SEED Oak Park, IL [solar] = $40,000 (trust=90)
  SEED Orland Park, IL [roofing] = $16,100 (trust=90)
  SEED Orland Park, IL [hvac] = $12,600 (trust=90)
  SEED Orland Park, IL [plumbing] = $3,600 (trust=90)
  SEED Orland Park, IL [electrical] = $3,600 (trust=90)
  SEED Orland Park, IL [solar] = $40,000 (trust=90)
  SEED Palatine, IL [roofing] = $16,100 (trust=90)
  SEED Palatine, IL [hvac] = $12,600 (trust=90)
  SEED Palatine, IL [plumbing] = $3,600 (trust=90)
  SEED Palatine, IL [electrical] = $3,600 (trust=90)
  SEED Palatine, IL [solar] = $40,000 (trust=90)
  SEED Peoria, IL [roofing] = $14,200 (trust=90)
  SEED Peoria, IL [hvac] = $11,200 (trust=90)
  SEED Peoria, IL [plumbing] = $3,000 (trust=90)
  SEED Peoria, IL [electrical] = $3,200 (trust=90)
  SEED Peoria, IL [solar] = $35,600 (trust=90)
  SEED Plainfield, IL [roofing] = $16,100 (trust=90)
  SEED Plainfield, IL [hvac] = $12,600 (trust=90)
  SEED Plainfield, IL [plumbing] = $3,600 (trust=90)
  SEED Plainfield, IL [electrical] = $3,600 (trust=90)
  SEED Plainfield, IL [solar] = $40,000 (trust=90)
  SEED Rockford, IL [roofing] = $13,900 (trust=90)
  SEED Rockford, IL [hvac] = $11,300 (trust=90)
  SEED Rockford, IL [plumbing] = $3,000 (trust=90)
  SEED Rockford, IL [electrical] = $3,000 (trust=90)
  SEED Rockford, IL [solar] = $33,100 (trust=90)
  SEED Schaumburg, IL [roofing] = $16,100 (trust=90)
  SEED Schaumburg, IL [hvac] = $12,600 (trust=90)
  SEED Schaumburg, IL [plumbing] = $3,600 (trust=90)
  SEED Schaumburg, IL [electrical] = $3,600 (trust=90)
  SEED Schaumburg, IL [solar] = $40,000 (trust=90)
  SEED Skokie, IL [roofing] = $16,100 (trust=90)
  SEED Skokie, IL [hvac] = $12,600 (trust=90)
  SEED Skokie, IL [plumbing] = $3,600 (trust=90)
  SEED Skokie, IL [electrical] = $3,600 (trust=90)
  SEED Skokie, IL [solar] = $40,000 (trust=90)
  SEED Springfield, IL [roofing] = $15,500 (trust=90)
  SEED Springfield, IL [plumbing] = $3,200 (trust=90)
  SEED Springfield, IL [electrical] = $3,100 (trust=90)
  SEED Springfield, IL [solar] = $34,700 (trust=90)
  SEED Tinley Park, IL [roofing] = $16,100 (trust=90)
  SEED Tinley Park, IL [hvac] = $12,600 (trust=90)
  SEED Tinley Park, IL [plumbing] = $3,600 (trust=90)
  SEED Tinley Park, IL [electrical] = $3,600 (trust=90)
  SEED Tinley Park, IL [solar] = $40,000 (trust=90)
  SEED Urbana, IL [roofing] = $14,000 (trust=90)
  SEED Urbana, IL [hvac] = $11,300 (trust=90)
  SEED Urbana, IL [plumbing] = $3,200 (trust=90)
  SEED Urbana, IL [electrical] = $3,200 (trust=90)
  SEED Urbana, IL [solar] = $35,500 (trust=90)
  SEED Waukegan, IL [roofing] = $16,100 (trust=90)
  SEED Waukegan, IL [hvac] = $12,600 (trust=90)
  SEED Waukegan, IL [plumbing] = $3,600 (trust=90)
  SEED Waukegan, IL [electrical] = $3,600 (trust=90)
  SEED Waukegan, IL [solar] = $40,000 (trust=90)
  SEED Wheaton, IL [roofing] = $16,100 (trust=90)
  SEED Wheaton, IL [hvac] = $12,600 (trust=90)
  SEED Wheaton, IL [plumbing] = $3,600 (trust=90)
  SEED Wheaton, IL [electrical] = $3,600 (trust=90)
  SEED Wheaton, IL [solar] = $40,000 (trust=90)
  SEED Anderson, IN [roofing] = $13,200 (trust=90)
  SEED Anderson, IN [hvac] = $10,100 (trust=90)
  SEED Anderson, IN [plumbing] = $2,700 (trust=90)
  SEED Anderson, IN [electrical] = $2,700 (trust=90)
  SEED Anderson, IN [solar] = $30,400 (trust=90)
  SEED Bloomington, IN [roofing] = $12,900 (trust=90)
  SEED Bloomington, IN [hvac] = $10,100 (trust=90)
  SEED Bloomington, IN [plumbing] = $3,000 (trust=90)
  SEED Bloomington, IN [electrical] = $2,700 (trust=90)
  SEED Bloomington, IN [solar] = $30,200 (trust=90)
  SEED Carmel, IN [roofing] = $13,200 (trust=90)
  SEED Carmel, IN [hvac] = $10,100 (trust=90)
  SEED Carmel, IN [plumbing] = $2,700 (trust=90)
  SEED Carmel, IN [electrical] = $2,700 (trust=90)
  SEED Carmel, IN [solar] = $30,400 (trust=90)
  SEED Columbus, IN [roofing] = $12,300 (trust=90)
  SEED Columbus, IN [hvac] = $9,600 (trust=90)
  SEED Columbus, IN [plumbing] = $3,100 (trust=90)
  SEED Columbus, IN [electrical] = $3,000 (trust=90)
  SEED Columbus, IN [solar] = $33,300 (trust=90)
  SEED Elkhart, IN [roofing] = $13,000 (trust=90)
  SEED Elkhart, IN [hvac] = $9,300 (trust=90)
  SEED Elkhart, IN [plumbing] = $2,500 (trust=90)
  SEED Elkhart, IN [electrical] = $2,300 (trust=90)
  SEED Elkhart, IN [solar] = $27,000 (trust=90)
  SEED Evansville, IN [roofing] = $13,100 (trust=90)
  SEED Evansville, IN [hvac] = $9,900 (trust=90)
  SEED Evansville, IN [plumbing] = $2,600 (trust=90)
  SEED Evansville, IN [electrical] = $2,900 (trust=90)
  SEED Evansville, IN [solar] = $31,800 (trust=90)
  SEED Fishers, IN [roofing] = $13,200 (trust=90)
  SEED Fishers, IN [hvac] = $10,100 (trust=90)
  SEED Fishers, IN [plumbing] = $2,700 (trust=90)
  SEED Fishers, IN [electrical] = $2,700 (trust=90)
  SEED Fishers, IN [solar] = $30,400 (trust=90)
  SEED Fort Wayne, IN [roofing] = $12,200 (trust=90)
  SEED Fort Wayne, IN [hvac] = $9,400 (trust=90)
  SEED Fort Wayne, IN [plumbing] = $2,900 (trust=90)
  SEED Fort Wayne, IN [electrical] = $2,700 (trust=90)
  SEED Fort Wayne, IN [solar] = $30,100 (trust=90)
  SEED Gary, IN [roofing] = $16,100 (trust=90)
  SEED Gary, IN [hvac] = $12,600 (trust=90)
  SEED Gary, IN [plumbing] = $3,600 (trust=90)
  SEED Gary, IN [electrical] = $3,600 (trust=90)
  SEED Gary, IN [solar] = $40,000 (trust=90)
  SEED Greenwood, IN [roofing] = $13,200 (trust=90)
  SEED Greenwood, IN [hvac] = $10,100 (trust=90)
  SEED Greenwood, IN [plumbing] = $2,700 (trust=90)
  SEED Greenwood, IN [electrical] = $2,700 (trust=90)
  SEED Greenwood, IN [solar] = $30,400 (trust=90)
  SEED Hammond, IN [roofing] = $16,100 (trust=90)
  SEED Hammond, IN [hvac] = $12,600 (trust=90)
  SEED Hammond, IN [plumbing] = $3,600 (trust=90)
  SEED Hammond, IN [electrical] = $3,600 (trust=90)
  SEED Hammond, IN [solar] = $40,000 (trust=90)
  SEED Indianapolis, IN [roofing] = $13,200 (trust=90)
  SEED Indianapolis, IN [hvac] = $10,100 (trust=90)
  SEED Indianapolis, IN [plumbing] = $2,700 (trust=90)
  SEED Indianapolis, IN [electrical] = $2,700 (trust=90)
  SEED Indianapolis, IN [solar] = $30,400 (trust=90)
  SEED Jeffersonville, IN [roofing] = $12,000 (trust=90)
  SEED Jeffersonville, IN [hvac] = $9,500 (trust=90)
  SEED Jeffersonville, IN [plumbing] = $2,700 (trust=90)
  SEED Jeffersonville, IN [electrical] = $2,600 (trust=90)
  SEED Jeffersonville, IN [solar] = $29,200 (trust=90)
  SEED Kokomo, IN [roofing] = $12,200 (trust=90)
  SEED Kokomo, IN [hvac] = $10,800 (trust=90)
  SEED Kokomo, IN [plumbing] = $3,100 (trust=90)
  SEED Kokomo, IN [electrical] = $3,100 (trust=90)
  SEED Kokomo, IN [solar] = $33,600 (trust=90)
  SEED Lafayette, IN [roofing] = $12,500 (trust=90)
  SEED Lafayette, IN [hvac] = $10,000 (trust=90)
  SEED Lafayette, IN [plumbing] = $2,600 (trust=90)
  SEED Lafayette, IN [electrical] = $2,900 (trust=90)
  SEED Lafayette, IN [solar] = $32,400 (trust=90)
  SEED Lawrence, IN [roofing] = $13,200 (trust=90)
  SEED Lawrence, IN [hvac] = $10,100 (trust=90)
  SEED Lawrence, IN [plumbing] = $2,700 (trust=90)
  SEED Lawrence, IN [electrical] = $2,700 (trust=90)
  SEED Lawrence, IN [solar] = $30,400 (trust=90)
  SEED Mishawaka, IN [roofing] = $13,400 (trust=90)
  SEED Mishawaka, IN [hvac] = $10,000 (trust=90)
  SEED Mishawaka, IN [plumbing] = $2,800 (trust=90)
  SEED Mishawaka, IN [electrical] = $2,700 (trust=90)
  SEED Mishawaka, IN [solar] = $30,100 (trust=90)
... 250/739 cities processed (1169 seeded, 81 skipped)
  SEED Muncie, IN [roofing] = $11,600 (trust=90)
  SEED Muncie, IN [hvac] = $8,800 (trust=90)
  SEED Muncie, IN [plumbing] = $2,500 (trust=90)
  SEED Muncie, IN [electrical] = $2,500 (trust=90)
  SEED Muncie, IN [solar] = $28,700 (trust=90)
  SEED Noblesville, IN [roofing] = $13,200 (trust=90)
  SEED Noblesville, IN [hvac] = $10,100 (trust=90)
  SEED Noblesville, IN [plumbing] = $2,700 (trust=90)
  SEED Noblesville, IN [electrical] = $2,700 (trust=90)
  SEED Noblesville, IN [solar] = $30,400 (trust=90)
  SEED South Bend, IN [roofing] = $13,400 (trust=90)
  SEED South Bend, IN [hvac] = $10,000 (trust=90)
  SEED South Bend, IN [plumbing] = $2,800 (trust=90)
  SEED South Bend, IN [electrical] = $2,700 (trust=90)
  SEED South Bend, IN [solar] = $30,100 (trust=90)
  SEED Terre Haute, IN [roofing] = $12,000 (trust=90)
  SEED Terre Haute, IN [hvac] = $9,300 (trust=90)
  SEED Terre Haute, IN [plumbing] = $3,000 (trust=90)
  SEED Terre Haute, IN [electrical] = $2,800 (trust=90)
  SEED Terre Haute, IN [solar] = $31,300 (trust=90)
  SEED Ames, IA [roofing] = $12,000 (trust=90)
  SEED Ames, IA [hvac] = $9,800 (trust=90)
  SEED Ames, IA [plumbing] = $2,600 (trust=90)
  SEED Ames, IA [electrical] = $2,600 (trust=90)
  SEED Ames, IA [solar] = $29,300 (trust=90)
  SEED Ankeny, IA [roofing] = $12,300 (trust=90)
  SEED Ankeny, IA [hvac] = $9,900 (trust=90)
  SEED Ankeny, IA [plumbing] = $2,900 (trust=90)
  SEED Ankeny, IA [electrical] = $2,300 (trust=90)
  SEED Ankeny, IA [solar] = $26,400 (trust=90)
  SEED Cedar Falls, IA [roofing] = $12,200 (trust=90)
  SEED Cedar Falls, IA [hvac] = $9,700 (trust=90)
  SEED Cedar Falls, IA [plumbing] = $2,500 (trust=90)
  SEED Cedar Falls, IA [electrical] = $2,600 (trust=90)
  SEED Cedar Falls, IA [solar] = $29,000 (trust=90)
  SEED Cedar Rapids, IA [roofing] = $12,300 (trust=90)
  SEED Cedar Rapids, IA [hvac] = $9,900 (trust=90)
  SEED Cedar Rapids, IA [plumbing] = $2,900 (trust=90)
  SEED Cedar Rapids, IA [electrical] = $2,300 (trust=90)
  SEED Cedar Rapids, IA [solar] = $26,400 (trust=90)
  SEED Council Bluffs, IA [roofing] = $12,300 (trust=90)
  SEED Council Bluffs, IA [hvac] = $9,900 (trust=90)
  SEED Council Bluffs, IA [plumbing] = $2,900 (trust=90)
  SEED Council Bluffs, IA [electrical] = $2,300 (trust=90)
  SEED Council Bluffs, IA [solar] = $26,400 (trust=90)
  SEED Davenport, IA [roofing] = $12,400 (trust=90)
  SEED Davenport, IA [hvac] = $10,300 (trust=90)
  SEED Davenport, IA [plumbing] = $2,600 (trust=90)
  SEED Davenport, IA [electrical] = $2,900 (trust=90)
  SEED Davenport, IA [solar] = $32,200 (trust=90)
  SEED Des Moines, IA [plumbing] = $2,600 (trust=90)
  SEED Des Moines, IA [electrical] = $2,600 (trust=90)
  SEED Des Moines, IA [solar] = $29,900 (trust=90)
  SEED Dubuque, IA [roofing] = $12,100 (trust=90)
  SEED Dubuque, IA [hvac] = $9,700 (trust=90)
  SEED Dubuque, IA [plumbing] = $2,500 (trust=90)
  SEED Dubuque, IA [electrical] = $2,500 (trust=90)
  SEED Dubuque, IA [solar] = $28,900 (trust=90)
  SEED Iowa City, IA [roofing] = $12,300 (trust=90)
  SEED Iowa City, IA [hvac] = $9,900 (trust=90)
  SEED Iowa City, IA [plumbing] = $2,900 (trust=90)
  SEED Iowa City, IA [electrical] = $2,300 (trust=90)
  SEED Iowa City, IA [solar] = $26,400 (trust=90)
  SEED Sioux City, IA [roofing] = $12,300 (trust=90)
  SEED Sioux City, IA [hvac] = $9,900 (trust=90)
  SEED Sioux City, IA [plumbing] = $2,900 (trust=90)
  SEED Sioux City, IA [electrical] = $2,300 (trust=90)
  SEED Sioux City, IA [solar] = $26,400 (trust=90)
  SEED Urbandale, IA [roofing] = $12,300 (trust=90)
  SEED Urbandale, IA [hvac] = $9,900 (trust=90)
  SEED Urbandale, IA [plumbing] = $2,900 (trust=90)
  SEED Urbandale, IA [electrical] = $2,300 (trust=90)
  SEED Urbandale, IA [solar] = $26,400 (trust=90)
  SEED Waterloo, IA [roofing] = $12,200 (trust=90)
  SEED Waterloo, IA [hvac] = $9,700 (trust=90)
  SEED Waterloo, IA [plumbing] = $2,500 (trust=90)
  SEED Waterloo, IA [electrical] = $2,600 (trust=90)
  SEED Waterloo, IA [solar] = $29,000 (trust=90)
  SEED West Des Moines, IA [roofing] = $12,400 (trust=90)
  SEED West Des Moines, IA [hvac] = $10,000 (trust=90)
  SEED West Des Moines, IA [plumbing] = $2,600 (trust=90)
  SEED West Des Moines, IA [electrical] = $2,600 (trust=90)
  SEED West Des Moines, IA [solar] = $29,900 (trust=90)
  SEED Hutchinson, KS [roofing] = $13,100 (trust=90)
  SEED Hutchinson, KS [hvac] = $10,300 (trust=90)
  SEED Hutchinson, KS [plumbing] = $2,700 (trust=90)
  SEED Hutchinson, KS [electrical] = $2,800 (trust=90)
  SEED Hutchinson, KS [solar] = $30,800 (trust=90)
  SEED Kansas City, KS [roofing] = $13,100 (trust=90)
  SEED Kansas City, KS [hvac] = $10,300 (trust=90)
  SEED Kansas City, KS [plumbing] = $2,700 (trust=90)
  SEED Kansas City, KS [electrical] = $2,800 (trust=90)
  SEED Kansas City, KS [solar] = $30,800 (trust=90)
  SEED Lawrence, KS [roofing] = $12,100 (trust=90)
  SEED Lawrence, KS [hvac] = $9,200 (trust=90)
  SEED Lawrence, KS [plumbing] = $2,500 (trust=90)
  SEED Lawrence, KS [electrical] = $2,500 (trust=90)
  SEED Lawrence, KS [solar] = $28,000 (trust=90)
  SEED Lenexa, KS [roofing] = $13,500 (trust=90)
  SEED Lenexa, KS [hvac] = $10,600 (trust=90)
  SEED Lenexa, KS [plumbing] = $2,800 (trust=90)
  SEED Lenexa, KS [electrical] = $2,800 (trust=90)
  SEED Lenexa, KS [solar] = $31,800 (trust=90)
  SEED Manhattan, KS [roofing] = $11,300 (trust=90)
  SEED Manhattan, KS [hvac] = $9,100 (trust=90)
  SEED Manhattan, KS [plumbing] = $2,500 (trust=90)
  SEED Manhattan, KS [electrical] = $2,500 (trust=90)
  SEED Manhattan, KS [solar] = $27,800 (trust=90)
  SEED Olathe, KS [roofing] = $13,500 (trust=90)
  SEED Olathe, KS [hvac] = $10,600 (trust=90)
  SEED Olathe, KS [plumbing] = $2,800 (trust=90)
  SEED Olathe, KS [electrical] = $2,800 (trust=90)
  SEED Olathe, KS [solar] = $31,800 (trust=90)
  SEED Overland Park, KS [roofing] = $13,500 (trust=90)
  SEED Overland Park, KS [hvac] = $10,600 (trust=90)
  SEED Overland Park, KS [plumbing] = $2,800 (trust=90)
  SEED Overland Park, KS [electrical] = $2,800 (trust=90)
  SEED Overland Park, KS [solar] = $31,800 (trust=90)
  SEED Salina, KS [roofing] = $13,100 (trust=90)
  SEED Salina, KS [hvac] = $10,300 (trust=90)
  SEED Salina, KS [plumbing] = $2,700 (trust=90)
  SEED Salina, KS [electrical] = $2,800 (trust=90)
  SEED Salina, KS [solar] = $30,800 (trust=90)
  SEED Shawnee, KS [roofing] = $13,500 (trust=90)
  SEED Shawnee, KS [hvac] = $10,600 (trust=90)
  SEED Shawnee, KS [plumbing] = $2,800 (trust=90)
  SEED Shawnee, KS [electrical] = $2,800 (trust=90)
  SEED Shawnee, KS [solar] = $31,800 (trust=90)
  SEED Topeka, KS [roofing] = $11,600 (trust=90)
  SEED Topeka, KS [hvac] = $9,400 (trust=90)
  SEED Topeka, KS [plumbing] = $2,800 (trust=90)
  SEED Topeka, KS [electrical] = $2,500 (trust=90)
  SEED Topeka, KS [solar] = $28,500 (trust=90)
  SEED Wichita, KS [roofing] = $11,400 (trust=90)
  SEED Wichita, KS [hvac] = $8,900 (trust=90)
  SEED Wichita, KS [plumbing] = $2,400 (trust=90)
  SEED Wichita, KS [electrical] = $2,500 (trust=90)
  SEED Wichita, KS [solar] = $27,900 (trust=90)
  SEED Bowling Green, KY [roofing] = $11,200 (trust=90)
  SEED Bowling Green, KY [hvac] = $9,000 (trust=90)
  SEED Bowling Green, KY [plumbing] = $2,500 (trust=90)
  SEED Bowling Green, KY [electrical] = $2,400 (trust=90)
  SEED Bowling Green, KY [solar] = $27,000 (trust=90)
  SEED Covington, KY [roofing] = $13,000 (trust=90)
  SEED Covington, KY [hvac] = $10,000 (trust=90)
  SEED Covington, KY [plumbing] = $2,700 (trust=90)
  SEED Covington, KY [electrical] = $2,600 (trust=90)
  SEED Covington, KY [solar] = $29,900 (trust=90)
  SEED Lexington-Fayette, KY [roofing] = $12,700 (trust=90)
  SEED Lexington-Fayette, KY [hvac] = $9,700 (trust=90)
  SEED Lexington-Fayette, KY [plumbing] = $2,600 (trust=90)
  SEED Lexington-Fayette, KY [electrical] = $2,600 (trust=90)
  SEED Lexington-Fayette, KY [solar] = $29,200 (trust=90)
  SEED Louisville, KY [hvac] = $9,500 (trust=90)
  SEED Louisville, KY [plumbing] = $2,700 (trust=90)
  SEED Louisville, KY [electrical] = $2,600 (trust=90)
  SEED Louisville, KY [solar] = $29,200 (trust=90)
  SEED Owensboro, KY [roofing] = $11,500 (trust=90)
  SEED Owensboro, KY [hvac] = $9,500 (trust=90)
  SEED Owensboro, KY [plumbing] = $2,700 (trust=90)
  SEED Owensboro, KY [electrical] = $2,400 (trust=90)
  SEED Owensboro, KY [solar] = $27,200 (trust=90)
  SEED Alexandria, LA [roofing] = $10,800 (trust=90)
  SEED Alexandria, LA [hvac] = $8,500 (trust=90)
  SEED Alexandria, LA [plumbing] = $2,400 (trust=90)
  SEED Alexandria, LA [electrical] = $2,400 (trust=90)
  SEED Alexandria, LA [solar] = $26,400 (trust=90)
  SEED Baton Rouge, LA [roofing] = $11,700 (trust=90)
