priority,query,vertical,seed,value,kind,commercialScore,existingPage,newPageNeeded
43.0,"what does a new roof cost",roof,"new roof cost",13,top,3,,true
43.0,"new roof cost per square",roof,"new roof cost",13,top,3,,true
43.0,"water heater installation",plumbing,"water heater cost",43,top,0,,true
43.0,"gravel driveway cost calculator",concrete,"driveway cost",3,top,4,,true
43.0,"brick siding cost",siding,"siding cost",13,top,3,,true
43.0,"window replacement cost per window",window,"window replacement cost",13,top,3,,true
43.0,"car paint scratch repair cost",auto-repair,"car repair cost",13,top,3,,true
43.0,"dui lawyer cost",legal,"lawyer cost",13,top,3,,true
43.0,"knee surgery cost",medical,"surgery cost",13,top,3,,true
42.0,"ivdd surgery cost",medical,"surgery cost",12050,rising,3,,true
42.0,"plumbing costs",plumbing,"plumbing cost",12,top,3,,true
42.0,"water heater replacement",plumbing,"water heater cost",42,top,0,,true
42.0,"garage insulation cost",insulation,"insulation cost",12,top,3,,true
42.0,"custody lawyer cost",legal,"lawyer cost",12,top,3,,true
42.0,"eyelid surgery cost",medical,"surgery cost",12,top,3,,true
42.0,"hernia surgery cost",medical,"surgery cost",12,top,3,,true
42.0,"tummy tuck surgery cost",medical,"surgery cost",12,top,3,,true
42.0,"lap band surgery cost",medical,"surgery cost",12,top,3,,true
41.0,"cost of new roof",roof,"roof replacement cost",11,top,3,,true
41.0,"hardie board siding cost",siding,"siding cost",11,top,3,,true
41.0,"insulated vinyl siding cost",siding,"vinyl siding cost",11,top,3,,true
41.0,"single garage door cost",garage-door,"garage door cost",11,top,3,,true
41.0,"car door dent repair cost",auto-repair,"car repair cost",11,top,3,,true
41.0,"bankruptcy lawyer cost",legal,"lawyer cost",11,top,3,,true
40.0,"plumbing cost for new house",plumbing,"plumbing cost",10,top,3,,true
40.0,"repave driveway cost",concrete,"driveway cost",10,top,3,,true
40.0,"closed cell spray foam cost",insulation,"spray foam cost",10,top,3,,true
40.0,"kitchen remodel costs",kitchen-remodel,"kitchen remodel cost",10,top,3,,true
40.0,"coolant leak repair cost",auto-repair,"car repair cost",10,top,3,,true
40.0,"traffic lawyer cost",legal,"lawyer cost",10,top,3,,true
40.0,"real estate lawyer cost",legal,"lawyer cost",10,top,3,,true
39.0,"resurface driveway cost",concrete,"driveway cost",9,top,3,,true
39.0,"goodfellas painting quote",painting,"painting quote",9,top,3,,true
39.0,"painting quote template",painting,"painting quote",9,top,3,,true
38.0,"new roof cost florida",roof,"new roof cost",8,top,3,,true
38.0,"asphalt roof replacement cost",roof,"roof replacement cost",8,top,3,,true
38.0,"new construction plumbing cost",plumbing,"plumbing cost",8,top,3,,true
38.0,"emergency plumber cost",plumbing,"plumber cost",8,top,3,,true
38.0,"pressure wash driveway cost",concrete,"driveway cost",8,top,3,,true
38.0,"privacy fence cost per foot",fence,"fence cost",8,top,3,,true
38.0,"brick fence cost",fence,"fence cost",8,top,3,,true
38.0,"double pane window replacement cost",window,"window replacement cost",8,top,3,,true
38.0,"crawl space insulation cost",insulation,"insulation cost",8,top,3,,true
38.0,"skin removal surgery cost",medical,"surgery cost",8,top,3,,true
37.0,"tile roof replacement cost",roof,"roof replacement cost",7,top,3,,true
37.0,"heat pump water heater cost",plumbing,"water heater cost",7,top,3,,true
37.0,"paved driveway cost",concrete,"driveway cost",7,top,3,,true
37.0,"whole house painting cost",painting,"house painting cost",7,top,3,,true
37.0,"driver side window replacement cost",window,"window replacement cost",7,top,3,,true
37.0,"probate lawyer cost",legal,"lawyer cost",7,top,3,,true
36.0,"high efficiency furnace cost",hvac,"furnace cost",6,top,3,,true
36.0,"plumber cost to snake a drain",plumbing,"plumber cost",6,top,3,,true
36.0,"electrician costs",electrical,"electrician cost",6,top,3,,true
36.0,"home solar panels",solar,"solar panels cost",36,top,0,,true
36.0,"polished concrete cost",concrete,"concrete cost",6,top,3,,true
36.0,"asphalt vs concrete driveway cost",concrete,"driveway cost",6,top,3,,true
36.0,"board and batten siding cost",siding,"siding cost",6,top,3,,true
35.0,"pressure washing driveway cost",concrete,"driveway cost",5,top,3,,true
35.0,"house painting cost estimator",painting,"house painting cost",5,top,3,,true
35.0,"strong foundation quotes",foundation,"foundation quote",5,top,3,,true
35.0,"james hardie siding cost",siding,"siding cost",5,top,3,,true
35.0,"speeding ticket lawyer cost",legal,"lawyer cost",5,top,3,,true
35.0,"personal injury lawyer cost",legal,"lawyer cost",5,top,3,,true
35.0,"bbl surgery cost",medical,"surgery cost",5,top,3,,true
34.0,"solar panels cost per watt",solar,"solar panels cost",4,top,3,,true
34.0,"goodfellas dog painting quote",painting,"painting quote",4,top,3,,true
34.0,"cement board siding cost",siding,"siding cost",4,top,3,,true
33.0,"what does a new furnace cost",hvac,"furnace cost",3,top,3,,true
33.0,"roofing",roof,"roof replacement cost",33,top,0,,true
33.0,"gyno surgery cost",medical,"surgery cost",3,top,3,,true
33.0,"labiaplasty surgery cost",medical,"surgery cost",3,top,3,,true
33.0,"double chin surgery cost",medical,"surgery cost",3,top,3,,true
32.0,"lp smart siding cost",siding,"siding cost",2,top,3,,true
32.0,"window replacement near me",window,"replacement window cost",42,top,-1,,true
32.0,"brazilian butt lift surgery cost",medical,"surgery cost",2,top,3,,true
28.0,"solar energy",solar,"solar panels cost",28,top,0,,true
27.0,"hardie siding",siding,"siding cost",27,top,0,,true
23.0,"solar panels for home",solar,"solar panels cost",23,top,0,,true
19.0,"auto repair near me",auto-repair,"car repair cost",29,top,-1,,true
18.0,"solar system",solar,"solar panels cost",18,top,0,,true
13.0,"foundation repair near me",foundation,"foundation repair cost",23,top,-1,,true
12.0,"best solar panels",solar,"solar panels cost",12,top,0,,true
0.0,"roof replacement near me",roof,"roof replacement cost",10,top,-1,,true
-3.0,"car ac repair near me",auto-repair,"car repair cost",7,top,-1,,true
